current,pow,throttle,volt,speed,fwd,rev,tic,timestamp
408,670,274,329,26,100,0,100,1567567140.45
427,669,286,324,28,100,0,100,1567567140.55
406,669,292,328,26,100,0,101,1567567140.65
388,670,281,329,28,100,0,99,1567567140.75
398,669,287,326,27,100,0,100,1567567140.95
426,669,271,324,27,100,0,99,1567567141.05
399,670,277,327,27,100,0,100,1567567141.15
395,670,287,327,27,100,0,101,1567567141.25
403,670,285,327,27,100,0,100,1567567141.35
400,670,274,329,27,100,0,98,1567567141.45
394,670,272,327,27,100,0,103,1567567141.55
403,669,273,328,27,100,0,99,1567567141.65
395,670,283,329,27,100,0,100,1567567141.75
391,670,276,329,27,100,0,100,1567567141.85
400,669,283,328,27,100,0,99,1567567141.95
405,670,279,328,27,100,0,101,1567567142.05
413,670,279,327,27,100,0,100,1567567142.15
391,670,273,329,27,100,0,99,1567567142.25
399,670,288,328,27,100,0,99,1567567142.45
421,669,274,327,28,100,0,101,1567567142.65
399,670,275,329,27,100,0,99,1567567142.75
383,670,267,328,27,100,0,100,1567567142.85
387,670,273,329,26,100,0,101,1567567142.95
388,670,284,327,27,100,0,99,1567567143.05
423,669,278,327,27,100,0,100,1567567143.15
382,670,276,328,28,100,0,104,1567567143.26
383,670,276,328,25,100,0,91,1567567143.45
400,670,267,328,26,100,0,98,1567567143.55
399,669,266,330,27,100,0,100,1567567143.65
390,670,276,327,27,100,0,100,1567567143.75
424,669,274,325,27,100,0,101,1567567143.85
395,670,259,328,27,100,0,99,1567567143.95
382,670,275,329,27,100,0,100,1567567144.05
385,670,276,330,27,100,0,100,1567567144.15
379,670,237,329,26,100,0,100,1567567144.25
360,670,251,331,27,100,0,100,1567567144.35
373,670,269,329,27,100,0,100,1567567144.45
392,670,261,329,26,100,0,101,1567567144.65
378,670,271,327,27,100,0,99,1567567144.75
395,670,238,328,26,100,0,101,1567567144.95
377,670,265,329,28,100,0,100,1567567145.05
386,670,282,327,26,100,0,99,1567567145.15
398,670,274,327,27,100,0,101,1567567145.25
404,670,268,329,27,100,0,100,1567567145.35
389,670,247,328,27,100,0,101,1567567145.55
378,670,254,327,26,100,0,99,1567567145.65
388,670,273,330,26,100,0,100,1567567145.75
393,669,285,327,27,100,0,101,1567567145.85
393,670,264,327,26,100,0,99,1567567145.95
372,670,258,329,27,100,0,101,1567567146.05
373,670,254,329,26,100,0,100,1567567146.15
368,670,266,330,26,100,0,100,1567567146.25
382,670,265,328,26,100,0,99,1567567146.35
392,670,268,330,26,100,0,101,1567567146.45
396,670,263,326,27,100,0,99,1567567146.55
407,670,273,329,26,100,0,100,1567567146.65
377,670,261,329,26,100,0,101,1567567146.85
372,670,261,329,27,100,0,99,1567567146.95
363,670,257,329,26,100,0,101,1567567147.05
382,670,259,327,25,100,0,99,1567567147.15
399,670,267,329,26,100,0,100,1567567147.25
378,670,271,329,26,100,0,101,1567567147.35
369,670,258,329,26,100,0,100,1567567147.45
388,670,262,328,26,100,0,99,1567567147.55
404,670,275,328,26,100,0,101,1567567147.65
378,670,261,328,26,100,0,99,1567567147.75
373,670,264,329,25,100,0,101,1567567147.85
411,669,263,328,26,100,0,99,1567567147.95
395,670,263,329,26,100,0,100,1567567148.05
364,670,272,330,26,100,0,101,1567567148.15
